Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,CreditCard,Securities Account,CD Account,Online,Personal Loan
61,37,53.5801887512207,94241,1,1.6223239704696624,1,339,0,0,0,1,0
44,21,54.57325744628906,94590,3,2.651543370990429,2,218,1,0,0,0,0
41,25,70.34161376953125,94538,4,1.6032894153647903,2,0,0,0,0,1,0
37,16,121.33969116210938,91009,1,0.2228208405259008,1,0,1,0,0,0,0
52,31,21.631855010986328,91390,4,1.5976011115241242,1,0,1,0,1,1,0
40,7,113.92166137695312,93693,2,4.148130426258442,2,226,0,0,0,0,0
49,22,102.31974792480467,91834,1,2.6432079430818733,2,208,0,0,0,1,0
60,34,57.6818962097168,91509,2,1.0744399679411791,1,0,0,0,0,1,0
27,17,30.82389068603516,95898,1,2.3786673373422915,2,0,0,0,0,1,0
53,22,78.4322738647461,96043,4,2.890042745479863,1,0,0,0,0,1,0
30,1,36.6916389465332,91755,2,1.3136278227420235,3,0,1,0,0,0,0
47,22,21.68405532836914,94184,1,0.4638342293918015,3,178,0,0,0,1,0
30,5,76.43767547607422,90005,3,1.6749339810010349,2,0,0,0,0,1,1
60,35,160.84654235839844,94597,2,5.78820006747823,1,0,1,0,0,0,0
41,2,96.07843017578124,92424,1,1.4566962452429384,1,0,0,1,0,1,0
58,35,57.01995086669922,92804,2,0.5807292969605533,1,0,1,0,0,0,0
33,8,125.40308380126952,94712,1,3.3341600638552,1,0,0,1,0,0,0
61,35,29.14556312561035,94215,2,1.0234218224825131,2,0,1,0,0,1,0
46,24,51.15039825439453,94105,2,1.0711979742961302,1,0,1,0,0,1,0
57,33,32.16041564941406,91628,3,0.3839683702710182,3,0,0,0,0,1,0
58,23,52.38872146606445,92076,2,1.8764055440707352,1,189,0,0,0,1,0
54,34,106.53430938720705,91344,3,2.1200732050596915,1,0,1,0,1,1,0
29,2,130.07940673828125,94890,2,6.848937832671622,1,0,0,0,0,1,0
48,24,45.27516174316406,95154,4,1.8105026057199147,3,0,0,0,0,1,0
60,39,149.98257446289062,90519,2,2.53403913666958,1,0,0,0,0,1,0
26,7,76.0459213256836,91642,1,3.3788389959824423,3,0,0,0,0,1,0
52,25,97.29876708984376,91036,2,0.5795557080967426,2,0,0,0,0,1,0
28,5,116.0702667236328,91267,1,2.548882332341591,1,0,0,0,0,0,0
34,5,96.30362701416016,90441,2,1.0361979415451965,2,0,0,0,0,0,1
39,14,104.66533660888672,95361,3,3.9719221161802434,1,525,1,0,1,1,1
62,36,31.677644729614254,94172,3,1.170814383776156,2,0,0,0,0,1,0
60,32,70.4957275390625,90234,4,1.800444028320472,2,0,1,0,0,0,0
39,9,95.56607055664062,92673,3,1.42720703703819,3,0,1,0,0,1,0
59,34,129.98336791992188,94951,3,2.5415665275132904,2,0,0,0,0,1,0
31,9,101.56128692626952,94459,1,2.248281300609781,1,0,0,0,0,0,0
31,3,48.57787322998047,92926,1,0.4450261913641972,1,0,0,0,0,1,0
52,17,42.84611129760742,91460,1,1.7951014130884029,1,0,1,0,1,1,0
42,21,107.17958068847656,94415,1,2.2258846589442056,1,0,1,0,0,1,0
44,20,62.82611083984375,89943,3,2.3216599535198865,2,87,1,0,0,0,0
40,16,138.3494873046875,92879,1,2.6827970595871173,1,0,0,0,0,0,0
46,21,27.46889877319336,94330,2,1.6773598587815044,3,0,1,0,0,1,0
45,21,48.331504821777344,91192,2,0.0759081044899904,3,0,0,0,0,0,0
43,13,68.55093383789062,92830,1,2.511859639500325,3,0,1,0,0,1,0
51,22,66.43968963623047,92598,1,0.2245112035787395,3,381,1,0,0,0,0
60,32,84.97895050048828,95603,3,1.002734135903364,1,0,0,0,0,1,1
28,3,76.96302795410156,96450,2,0.6324438336733649,3,0,0,1,0,1,0
43,25,54.01654815673828,94774,1,1.2153066660842118,3,229,0,0,0,1,0
40,18,44.38806915283203,92100,1,1.5457383828000868,1,0,0,0,0,0,0
58,33,31.49149703979492,92010,4,0.7773145998814537,1,0,0,0,0,0,0
47,19,23.78413391113281,95749,1,0.7350725451963038,2,0,0,0,0,1,0
30,18,108.20208740234376,92022,3,1.7825911807161106,2,0,0,0,0,0,1
41,11,89.9017562866211,94667,1,1.8277733944751748,3,153,0,0,0,0,0
29,1,138.1322479248047,92188,1,3.4729157770106163,1,0,0,0,0,1,0
38,3,24.26944923400879,91163,3,0.324289588175032,3,135,0,0,0,0,0
39,5,34.36964416503906,91911,2,2.522933348069893,3,0,0,0,0,1,0
45,21,135.24961853027344,94491,4,2.3391833043918657,2,0,0,0,0,0,0
64,30,110.8550262451172,90108,1,2.9104841445449714,2,135,0,0,0,0,0
48,27,76.73395538330078,95605,1,4.7730688353999735,3,0,0,0,0,1,0
62,38,31.25331115722656,91841,4,2.218007136446717,3,0,0,0,0,1,0
63,39,35.71256256103516,94068,1,2.373065362118681,3,0,1,0,0,0,0
58,26,28.75897216796875,91785,3,0.4707574636987823,2,183,0,0,0,0,0
32,5,13.478272438049316,92491,4,0.5146649516893937,3,186,0,0,0,1,0
48,22,32.12061309814453,93384,1,1.2058394147394529,1,0,1,0,0,1,0
34,2,81.75923156738281,95647,1,0.1340038311276387,3,0,0,0,0,1,0
36,10,29.304874420166016,92315,4,0.8031006566802691,2,0,0,0,0,0,0
47,27,39.41844940185547,91483,3,1.3227401742653946,3,0,0,0,0,1,0
55,29,90.03345489501953,92580,1,3.9192710847387566,1,106,1,0,0,0,0
51,18,46.199031829833984,94398,2,0.8428087965382843,1,540,0,0,0,0,0
56,33,34.54810333251953,95957,2,1.6580522692136963,3,0,0,0,0,0,0
37,14,114.86180877685548,94631,2,2.17913743195395,1,0,0,0,0,0,0
58,22,75.16729736328125,92694,4,2.317214345642279,1,0,0,0,0,0,0
37,28,205.0054473876953,93498,1,4.6504171191315535,3,0,0,0,0,1,1
57,10,59.52188873291016,91774,3,2.0823234613874595,2,167,0,0,0,0,0
33,6,66.88899230957031,94856,4,1.18138835520259,2,0,0,0,0,1,0
47,17,26.781761169433597,94727,3,0.961016865568187,2,0,0,0,0,1,0
35,2,99.85913848876952,93106,4,1.9140584166676848,1,313,0,0,0,1,0
48,5,100.2775421142578,93304,1,0.9939155293101634,1,0,0,0,0,1,0
51,22,176.16070556640625,95009,1,1.5412621625145968,1,0,0,0,0,1,0
62,34,102.6888656616211,94511,4,1.3035618254436878,3,0,0,0,0,1,0
49,16,27.067493438720703,92735,2,0.6715865465602644,1,0,0,0,0,1,0
61,35,44.16322326660156,96023,3,0.3108988860747154,2,109,0,0,0,1,0
46,17,21.973804473876957,90416,1,2.9513497609974784,2,120,0,0,0,0,0
45,18,110.4369888305664,92079,1,1.6594636045132058,3,0,0,1,0,1,0
56,37,53.78472137451172,93013,2,0.8797089645221378,3,0,0,0,0,1,0
58,35,73.90794372558594,90524,4,1.862584337763668,1,0,0,0,0,0,0
38,33,214.75860595703125,92079,2,4.417441975296669,1,401,0,0,0,1,0
28,5,73.1080322265625,95090,2,1.270549280890856,2,0,1,0,0,0,0
60,28,68.33843994140625,94352,2,0.8390646921628475,2,0,0,0,0,1,0
39,13,75.97018432617188,95485,1,1.9976595106468609,3,0,0,0,0,1,0
33,6,67.45860290527344,94343,4,1.711422617874094,1,0,1,0,0,1,0
36,13,39.87626647949219,94480,3,1.9016670291326732,3,0,0,0,0,0,0
53,33,43.686256408691406,94049,3,0.9589504270034948,1,0,0,0,0,0,0
49,31,28.53558349609375,96094,1,0.3312477226611635,1,0,1,1,0,0,0
42,12,92.36546325683594,91505,3,0.8929145268901577,2,0,0,0,0,1,0
60,36,74.51424407958984,90047,1,1.9709346719577705,3,0,0,1,0,0,0
54,26,17.418331146240234,93445,1,0.0931690845849622,1,132,1,0,0,1,0
60,34,46.31085205078125,94808,4,2.065164837639064,2,0,0,0,0,1,0
40,14,51.48509979248047,92256,1,2.478461751277714,1,0,0,0,0,1,0
29,9,24.39901351928711,94522,3,2.047861680890694,2,0,1,1,1,1,0
61,34,79.2086410522461,90404,1,2.0557934258923343,2,0,0,0,0,0,0
33,13,51.82754898071289,94112,2,1.6568798792686763,3,151,1,0,1,1,0
41,13,68.03056335449219,95039,2,0.5746403149523072,1,0,0,0,0,1,0
29,2,9.845722198486328,95024,4,0.408710604481433,2,0,0,0,0,1,0
31,9,59.65456771850586,95433,2,0.2441343519296976,1,0,0,0,0,1,0
37,13,22.615816116333008,89937,4,0.3022262437113793,1,0,0,0,0,0,0
43,20,161.31143188476562,93106,3,7.517080897892743,2,392,0,0,0,0,1
62,37,61.57942581176758,94831,3,1.6592928654761756,2,0,0,0,0,0,0
58,31,31.910512924194336,93446,1,0.1803414482764646,3,0,0,0,0,1,0
