Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,CreditCard,Securities Account,CD Account,Online,Personal Loan
59,8,47.86204528808594,94158,4,0.24480595407097205,1,125,0,0,0,0,0
38,11,161.68045043945312,93990,1,4.270876615834755,2,0,0,0,0,0,1
33,8,55.299644470214844,91233,4,0.813674092468142,1,0,1,0,0,1,0
34,9,90.96440887451172,94427,1,0.899298007955949,1,139,0,0,0,1,0
31,12,132.97889709472656,92834,1,3.8847880140427877,3,0,0,1,0,1,0
35,15,48.603336334228516,95173,4,2.0352627592422,1,0,0,0,0,0,0
53,19,146.61563110351562,90279,3,6.553632428094745,3,407,1,0,0,0,1
35,8,44.08125686645508,94864,3,1.5273074840470056,2,0,0,0,0,1,0
48,36,91.68795013427734,94798,2,3.42058081236282,2,208,1,1,1,1,0
49,25,62.113914489746094,90086,2,1.4515861885981245,3,0,0,1,0,0,0
33,6,38.30894470214844,95617,2,0.4461945337168439,1,271,1,0,0,1,0
27,3,66.86581420898438,91981,1,0.5357572614711613,1,0,1,0,0,1,0
44,21,70.02023315429688,94454,4,2.8718156506334105,3,233,0,0,0,1,0
51,20,28.178699493408203,95181,2,0.6398563144800496,2,105,0,0,0,1,0
35,5,53.72779083251953,94661,4,0.8592026249915157,3,391,0,0,0,0,1
61,35,20.844593048095703,90643,4,0.15013942650686118,1,63,0,0,0,1,0
61,35,69.4300765991211,91872,3,1.4258243643156674,2,0,1,1,1,1,1
57,29,21.07291030883789,94063,3,0.25777297919872494,2,0,0,1,0,0,1
47,27,69.42743682861328,94806,4,1.4487001730795086,1,0,1,0,0,1,0
47,19,12.422554969787598,94830,4,0.403889371690391,1,103,1,0,0,1,0
56,17,27.26934814453125,94669,1,0.8153429601863336,1,0,1,0,0,1,0
34,7,111.69743347167969,94197,4,8.726156932197135,1,346,1,0,0,0,0
41,18,213.90419006347656,94180,2,8.68318705822012,1,0,0,0,0,1,0
63,37,130.76040649414062,91594,4,1.5599766521764518,1,0,0,0,0,0,0
37,15,44.62744140625,93954,1,0.2877391005015062,3,0,0,0,0,1,0
53,41,52.84893798828125,94306,3,1.252101990799847,2,0,0,0,0,1,0
54,34,135.95388793945312,92334,3,2.74746472233989,1,0,0,0,0,1,0
46,18,29.447620391845703,95336,4,0.45313978292915774,2,107,0,0,0,0,0
40,22,45.954246520996094,93722,3,2.3190282163513736,2,0,0,1,1,1,0
26,2,34.40392303466797,92038,1,1.2563400362765464,3,74,0,0,0,1,0
48,27,105.94351959228516,94589,1,1.4090315162259464,1,169,1,0,0,0,0
43,25,111.96282196044922,90891,2,1.074320058379768,1,0,0,1,0,1,0
50,31,26.279277801513672,91997,2,0.20504769612741602,3,153,0,1,0,1,0
59,40,69.39584350585938,93815,2,1.1022958325630614,1,0,0,0,0,1,0
63,37,75.90319061279297,93986,2,1.625845108729053,3,0,1,1,0,1,0
